Veldnaam;Veldnaam_export;In_gebruik;Veldtype;p_na;lower;upper;pattern;Uniek;Percentages;Distribution;Opmerkingen
Datum_begin_opleiding;Datum begin opleiding;TRUE;POSIXct;0;NA;NA;^[0-9]{4}\-[0-9]{2}\-[0-9]{2}$;FALSE;2002-09-01: (7.0%) | 2010-09-01: (5.1%) | 2016-09-01: (5.0%) | 1999-09-01: (4.2%) | 2011-10-01: (3.9%) | 2019-09-01: (3.7%) | 2018-09-01: (3.4%) | 2021-09-01: (2.9%) | 2009-09-01: (2.9%) | 2003-09-01: (2.6%) | Overig: (59.3%);NA;NA
Datum_einde_instroom;Datum einde instroom;TRUE;character;0;NA;NA;[0-9]{4};FALSE;00-00-0000: (55.4%) | 43343: ( 5.5%) | 39051: ( 4.5%) | 37499: ( 4.0%) | 40786: ( 2.8%) | 41152: ( 2.0%) | 43708: ( 1.5%) | 42247: ( 1.4%) | 41517: ( 1.4%) | 42978: ( 1.2%) | Overig: (20.3%);Q1 = 39051  | median = 41152  | Q3 =  43343  | mean = 40985  | stdev = 2286;NA
Datum_einde_opleiding;Datum einde opleiding;TRUE;character;0;NA;NA;[0-9]{4};FALSE;37499: (6.7%) | 00-00-0000: (5.9%) | 40422: (5.0%) | 42614: (4.8%) | 40817: (3.9%) | 43709: (3.6%) | 44440: (2.8%) | 43344: (2.7%) | 40057: (2.7%) | 44075: (1.9%) | Overig: (60%);Q1 = 38353  | median = 40422  | Q3 =  43100  | mean = 40662  | stdev = 2514;NA
OPL_Studielast_nominaal;Studielast;TRUE;numeric;0;0;360;NA;FALSE;240: (50.15%) | 120: (15.53%) | 60: (13.91%) | 168: ( 8.95%) | 180: ( 6.40%) | 90: ( 1.82%) | 84: ( 0.56%) | 300: ( 0.56%) | 160: ( 0.23%) | 126: ( 0.18%) | Overig: (1.71000000000001%);Q1 = 120  | median = 240  | Q3 =  240  | mean = 180  | stdev = 69.6;NA
Grondslag_studielast;Grondslag studielast;TRUE;subset;14,19109154;NA;NA;[A-Z]{2};FALSE;WETTELIJK: (78.5%) | INSTELLING: ( 3.8%) | MINISTERIEEL: ( 3.5%) | Overig: (14.2%);NA;NA
Studielast_VT;Studielast VT;TRUE;numeric;0;0;0;NA;FALSE;Overig: (100%);Q1 = 0  | median = 0  | Q3 =  0  | mean = 0  | stdev = 0;NA
Propedeutisch_examen;Propedeutisch examen;TRUE;subset;0;NA;NA;[A-Z]{2};FALSE;NEE: (59%) | Overig: (41%);NA;NA
Eisen_te_verrichten_werkzaamheden;Eisen te verrichten werkzaamheden;TRUE;subset;0;NA;NA;[A-Z]{2};FALSE;JA: (89%) | Overig: (11%);NA;NA
OPL_Bekostiging;Bekostiging;TRUE;subset;0;NA;NA;[A-Z]{2};FALSE;AANGEWEZEN: (57.052%) | NIET BEKOSTIGD: (23.681%) | OPEN BESTEL: (19.071%) | GESUBSIDIEERD: ( 0.141%) | Overig: ( 0.055%);NA;NA
OPL_Bekostigingsduur;Bekostigingsduur;TRUE;numeric;0;0;72;NA;FALSE;0: (42.7529%) | 48: (34.5266%) | 12: (10.0238%) | 36: ( 5.9513%) | 24: ( 5.9080%) | 60: ( 0.6524%) | 72: ( 0.1363%) | 30: ( 0.0325%) | 28: ( 0.0108%) | 18: ( 0.0036%) | Overig: (0.00180000000000291%);Q1 = 0  | median = 12  | Q3 =  48  | mean = 21.8  | stdev = 21.8;NA
Inschrijving_met_deficientie;Inschrijving met deficiëntie;TRUE;subset;0;NA;NA;[A-Z]{2};FALSE;JA: (69%) | Overig: (31%);NA;NA
Beroepsvereisten;Beroepsvereisten;TRUE;subset;0;NA;NA;[A-Z]{2};FALSE;JA: (73%) | Overig: (27%);NA;NA
Datum_accreditatiebesluit;Datum accreditatiebesluit/melding;TRUE;character;0;NA;NA;[0-9]{4};FALSE;00-00-0000: (25.14%) | 38352: ( 4.18%) | 37621: ( 2.76%) | 37986: ( 1.74%) | 42216: ( 1.56%) | 42580: ( 1.51%) | 38925: ( 1.29%) | 41820: ( 1.17%) | 43039: ( 1.14%) | 41261: ( 0.91%) | Overig: (58.6%);Q1 = 39191  | median = 40847  | Q3 =  42580  | mean = 40843  | stdev = 2004;NA
Datum_begin_accreditatie;Datum begin accreditatie;TRUE;character;0;NA;NA;[0-9]{4};FALSE;00-00-0000: (11.5%) | 37257: ( 9.0%) | 39448: ( 5.6%) | 37622: ( 4.5%) | 38353: ( 4.2%) | 39814: ( 4.0%) | 40179: ( 2.7%) | 38718: ( 2.7%) | 36526: ( 2.6%) | 40544: ( 2.3%) | Overig: (50.9%);Q1 = 38353  | median = 40179  | Q3 =  42034  | mean = 40258  | stdev = 2211;NA
Datum_uitstel_tot_accreditatie;Datum uitstel tot accreditatie;TRUE;character;0;NA;NA;[0-9]{4};FALSE;00-00-0000: (81.65%) | 43284: ( 1.36%) | 43465: ( 1.36%) | 42004: ( 1.11%) | 44500: ( 0.86%) | 41819: ( 0.86%) | 44197: ( 0.64%) | 43831: ( 0.63%) | 46327: ( 0.53%) | 45962: ( 0.52%) | Overig: (10.48%);Q1 = 42004  | median = 43465  | Q3 =  44500  | mean = 43412  | stdev = 1827;NA
Datum_einde_instroom_accreditatie;Datum einde instroom accreditatie;TRUE;subset;0;NA;NA;^[0-9]{2}\-[0-9]{2}\-[0-9]{4}$;FALSE;Overig: (100%);NA;NA
