Veldnaam;Veldnaam_export;In_gebruik;Veldtype;p_na;lower;upper;pattern;Uniek;Opmerkingen;
;Overige faculteit JD (EN);FALSE;character;115,7924501;NA;NA;NA;FALSE;Vaak leeg, en talig;
;Overige faculteit JD (NL);FALSE;character;117,4187068;NA;NA;NA;FALSE;Vaak leeg, en talig;
UAS_Opleiding_Structuur_van_opleiding_EN;Structuur van opleiding (diplomasupplement) (EN);TRUE;character;44,56240872;NA;NA;NA;FALSE;Talig;
UAS_Opleiding_Structuur_van_opleiding_NL;Structuur van opleiding (diplomasupplement) (NL);TRUE;character;73,11947555;NA;NA;NA;FALSE;Talig;
;Omschrijving vakgebied (diplomasupplement) (EN);TRUE;character;65,50859441;NA;NA;NA;FALSE;Talig;
;Omschrijving vakgebied (diplomasupplement) (NL);TRUE;character;88,47133835;NA;NA;NA;FALSE;Talig;
;Toelatingsvoorwaarden (diplomasupplement) (EN);TRUE;character;41,89534781;NA;NA;NA;FALSE;Talig;
;Toelatingsvoorwaarden (diplomasupplement) (NL);TRUE;character;70,12716331;NA;NA;NA;FALSE;Talig;
;Verdere studie (diplomasupplement) (EN);TRUE;character;41,50504622;NA;NA;NA;FALSE;Talig;
;Verdere studie (diplomasupplement) (NL);TRUE;character;68,89120825;NA;NA;NA;FALSE;Talig;
;Omschrijving verdere informatie (diplomasupplement) (EN);TRUE;character;94,78121416;NA;NA;NA;FALSE;Talig;
;Omschrijving verdere informatie (diplomasupplement) (NL);TRUE;character;105,5145081;NA;NA;NA;FALSE;Talig;
;Omschrijving opleidingsduur (diplomasupplement) (EN);TRUE;character;41,43999595;NA;NA;NA;FALSE;Talig;
;Omschrijving opleidingsduur (diplomasupplement) (NL);TRUE;character;70,32231411;NA;NA;NA;FALSE;Talig;
;Omschrijving arbeidsmarkt (diplomasupplement) (EN);FALSE;character;41,50504622;NA;NA;NA;FALSE;Talig;
;Omschrijving arbeidsmarkt (diplomasupplement) (NL);FALSE;character;67,85040399;NA;NA;NA;FALSE;Talig;
;9124 (EN);TRUE;character;115,4671988;NA;NA;NA;FALSE;Talig;
;9124 (NL);TRUE;character;117,7439581;NA;NA;NA;FALSE;Talig;
;9123 (EN);TRUE;character;115,4671988;NA;NA;NA;FALSE;Talig;
;9123 (NL);TRUE;character;116,9633549;NA;NA;NA;FALSE;Talig;
;Beleidsafspraken (EN);TRUE;character;73,90007874;NA;NA;NA;FALSE;Talig;
;Beleidsafspraken (NL);TRUE;character;73,96512901;NA;NA;NA;FALSE;Talig;
;Lange naam (studiegids, diploma, diplomasupplement) (EN);TRUE;character;83,46246786;NA;NA;NA;FALSE;Talig;
;Lange naam (studiegids, diploma, diplomasupplement) (NL);TRUE;character;82,55176413;NA;NA;NA;FALSE;Talig;
;Opleidingsdirecteur;TRUE;character;21,27441345;NA;NA;NA;FALSE;Namen, liever niet gebruiken, we hebben ook id's;
;Opleidingscoordinator;TRUE;character;88,73153942;NA;NA;NA;FALSE;Namen, liever niet gebruiken, we hebben ook id's;
;Opleidingscommissie;TRUE;character;94,65111363;NA;NA;NA;FALSE;Namen, liever niet gebruiken, we hebben ook id's;
UAS_Opleiding_Opleidingsdirecteur_ID;Opleidingsdirecteur (id);TRUE;character;21,27441345;NA;NA;NA;FALSE;;
UAS_Opleiding_Opleidingscoordinator_ID;Opleidingscoordinator (id);TRUE;character;88,73153942;NA;NA;NA;FALSE;Pas laatste jaren gevuld;
UAS_Opleiding_Opleidingscommissie_ID;Opleidingscommissie (id);TRUE;character;94,65111363;NA;NA;NA;FALSE;Pas laatste jaren gevuld;
;Opleidingsdirecteur (email);TRUE;character;111,0437807;NA;NA;NA;FALSE;Email, liever niet gebruiken, we hebben ook id's;
;Opleidingscoordinator (email);TRUE;character;113,9059924;NA;NA;NA;FALSE;Email, liever niet gebruiken, we hebben ook id's;
;Opleidingscommissie (email);TRUE;character;117,3536565;NA;NA;NA;FALSE;Email, liever niet gebruiken, we hebben ook id's;
UAS_Opleiding_Beleidsafspraken_roostering;Beleidsafspraken roostering;TRUE;character;107,6611669;NA;NA;NA;FALSE;Pas vanaf 2021 gevuld;
